Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,B_Tmag,V_Tmag,Jmag,Hmag,Ksmag
0.00051413,-1.48,9.5,1.1363195181,26.8866043091,1.135,0.919,3.9241,4.222,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-6.09e-13,0.0,0.7954,0.2042,7.897e-05,2.168e-05,0.0001973,-1.0,0.000446,2.472,2.476,2.528,2.375,2.619,2.536,2.253,2.236,2.22
0.00051413,-1.48,9.5,1.1479046345,26.8872184753,1.146,0.976,3.9224,4.163,2,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-7.21e-13,0.0,0.7948,0.2048,7.915e-05,2.174e-05,0.0001977,-1.0,0.000424,2.329,2.328,2.381,2.225,2.471,2.388,2.1,2.082,2.066
0.00051413,-1.48,9.5,1.1499999762,26.8873291016,1.148,0.987,3.9219,4.151,2,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-7.45e-13,0.0,0.7947,0.2049,7.918e-05,2.175e-05,0.0001978,-1.0,0.0004201,2.304,2.301,2.354,2.197,2.445,2.361,2.071,2.052,2.036
0.00051413,-1.48,9.5,1.1588087082,26.8877849579,1.157,1.03,3.9164,4.089,2,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-8.67e-13,0.0,0.7942,0.2054,7.933e-05,2.178e-05,0.0001981,-1.0,0.0004201,2.194,2.18,2.24,2.066,2.337,2.245,1.928,1.903,1.886
0.00051413,-1.48,9.5,1.164755702,26.8880882263,1.163,1.065,3.9084,4.024,2,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-9.98e-13,0.0,0.7939,0.2057,7.943e-05,2.181e-05,0.0001984,-1.0,0.0004201,2.108,2.08,2.149,1.949,2.259,2.151,1.793,1.757,1.74
0.00051413,-1.48,9.5,1.1682093143,26.888261795,1.167,1.087,3.8998,3.969,2,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.11e-12,0.0,0.7937,0.2059,7.949e-05,2.182e-05,0.0001985,-1.0,0.0004201,2.051,2.013,2.092,1.863,2.216,2.091,1.686,1.637,1.619
0.00053831,-1.46,9.5,0.0900000036,25.5449466705,0.09,-3.193,3.4715,5.423,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.23e-17,0.0,0.7497,0.2497,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005533,12.752,13.644,15.618,12.422,18.333,15.715,10.699,10.414,10.324
0.00053831,-1.46,9.5,0.0906467065,25.5582866669,0.091,-3.173,3.4743,5.418,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.48e-17,0.0,0.7497,0.2498,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005533,12.703,13.582,15.511,12.368,18.196,15.602,10.66,10.363,10.27
0.00053831,-1.46,9.5,0.0970095918,25.6784934998,0.097,-2.99,3.5005,5.369,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.56e-17,0.0,0.7494,0.25,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005532,12.244,12.983,14.503,11.857,16.896,14.549,10.292,9.891,9.772
0.00053831,-1.46,9.5,0.1000000015,25.7288246155,0.1,-2.907,3.5123,5.346,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.04e-16,0.0,0.7492,0.2502,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005532,12.038,12.715,14.094,11.628,16.352,14.127,10.126,9.691,9.56
0.00053831,-1.46,9.5,0.1199999973,25.9912986755,0.12,-2.622,3.5438,5.266,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.02e-16,0.0,0.7486,0.2509,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005532,11.325,11.839,12.934,10.848,14.822,12.944,9.516,9.016,8.861
0.00053831,-1.46,9.5,0.1202075556,25.9934902191,0.12,-2.62,3.5439,5.265,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.03e-16,0.0,0.7486,0.2509,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005532,11.32,11.833,12.927,10.842,14.813,12.937,9.511,9.011,8.856
0.00053831,-1.46,9.5,0.1400000006,26.1680011749,0.14,-2.443,3.5591,5.215,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.99e-16,0.0,0.748,0.2514,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005533,10.877,11.317,12.311,10.369,14.029,12.312,9.118,8.598,8.432
0.00053831,-1.46,9.5,0.1599999964,26.2939968109,0.16,-2.307,3.5693,5.178,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.99e-16,0.0,0.7476,0.2518,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005532,10.537,10.932,11.866,10.011,13.477,11.86,8.81,8.28,8.107
0.00053831,-1.46,9.5,0.200000003,26.459897995,0.2,-2.099,3.5829,5.122,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.15e-16,0.0,0.7469,0.2525,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005533,10.018,10.359,11.224,9.471,12.704,11.206,8.332,7.793,7.612
0.00053831,-1.46,9.5,0.2500000298,26.5826473236,0.25,-1.9,3.5943,5.065,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.27e-16,0.0,0.7465,0.253,9.948e-05,2.684e-05,0.0002434,-1.0,0.0005533,9.52,9.819,10.632,8.96,12.009,10.603,7.868,7.324,7.141
0.00053831,-1.46,9.5,0.3000000417,26.65883255,0.3,-1.741,3.6028,5.019,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.29e-15,0.0,0.7463,0.2532,9.947e-05,2.684e-05,0.0002434,-1.0,0.0005533,9.122,9.391,10.166,8.552,11.473,10.131,7.493,6.947,6.765
